depth,mean_yrsBP,sd_age
1033.5,687.89,92
1034.4,688.96,92
1035.2,690.54,92
1036,692.1,92.05
1036.9,693.17,92.58
1037.7,694.24,93
1038.5,695.31,93
1039.4,696.57,93
1040.2,698.17,93
1041,699.52,93
1041.9,700.59,93
1042.7,701.66,93
1043.5,702.73,93
1044.4,704.19,93.4
1045.2,705.8,93.93
1046,706.93,94
1046.9,708.01,94
1047.7,709.61,94
1048.6,711.14,94
1049.4,712.21,94
1050.2,713.28,94
1051.1,714.35,94
1051.9,715.63,94.21
1052.7,717.24,94.75
1053.6,718.56,95
1054.4,719.63,95
1055.2,721.05,95
1056.1,722.66,95
1056.9,723.84,95
1057.7,724.91,95
1058.6,725.98,95
1059.4,727.07,95
1060.3,728.68,95
1061.1,730.19,95.09
1061.9,731.26,95.63
1062.8,732.33,96
1063.6,733.4,96
1064.4,734.7,96
1065.3,736.31,96
1066.1,737.61,96
1066.9,738.68,96
1067.8,739.75,96
1068.6,740.82,96
1069.4,742.33,96
1070.3,743.93,96
1071.1,745.03,96
1072,746.09,96.05
1072.8,747.16,96.58
1073.6,748.35,97
1074.5,749.96,97
1075.3,751.37,97
1076.1,752.44,97
1077,753.77,97
1077.8,755.37,97
1078.6,756.65,97
1079.5,757.72,97
1080.3,759.19,97
1081.1,760.79,97
1082,761.93,97
1082.8,763,97
1083.7,764.07,97
1084.5,765.14,97
1085.3,766.21,97
1086.2,767.42,97.14
1087,769.02,97.67
1087.8,770.42,98
1088.7,771.49,98
1089.5,772.84,98
1090.3,774.44,98
1091.2,775.7,98
1092,776.77,98
1092.8,777.84,98
1093.7,778.91,98
1094.5,779.98,98
1095.4,781.07,98
1096.2,782.67,98
1097,784.19,98
1097.9,785.26,98
1098.7,786.49,98
1099.5,788.09,98
1100.5,789.7,98
1101.7,791.3,98
1102.9,792.91,98
1104,794.51,98
1105.2,796.49,98
1106.4,798.63,98
1107.5,800.32,98.44
1108.7,801.93,98.98
1109.9,803.53,99
1111,805.14,99
1112.2,806.74,99
1113.4,808.46,99
1114.6,810.6,99
1115.7,812.56,99
1116.9,814.16,99
1118.1,816.02,99
1119.2,818.16,99
1120.4,819.97,99
1121.6,821.58,99
1122.7,823.58,99
1123.9,825.72,99
1125.1,827.39,99
1126.3,829,99
1127.4,830.6,99
1128.6,832.27,99
1129.8,834.41,99
1130.9,836.41,99
1132.1,838.02,99
1133.3,839.62,99
1134.4,841.23,99
1135.6,842.83,99
1136.8,844.44,99
1138,846.39,99
1139.1,848.53,99
1140.3,850.25,99
1141.5,851.85,99
1142.6,853.46,99
1143.8,855.06,99
1145,856.67,99
1146.1,858.36,99
1147.3,860.5,99
1148.5,862.48,98.84
1149.7,864.09,98.3
1150.8,865.69,98
1152,867.3,98
1153.2,869.2,98
1154.3,871.34,98
1155.5,873.11,98
1156.7,874.71,98
1157.8,876.32,98
1159,877.92,98
1160.2,880.04,98
1161.4,882.13,98
1162.5,883.74,98
1163.7,885.34,98
1164.9,886.95,98
1166,888.73,98
1167.2,890.87,98
1168.4,892.76,98
1169.5,894.36,98
1170.7,895.97,98
1171.9,897.57,98
1173.1,899.57,97.61
1174.2,901.71,97.07
1175.4,903.39,97
1176.6,904.99,97
1177.7,906.6,97
1178.9,908.2,97
1180.1,909.8,97
1181.2,911.55,97
1182.4,913.68,97
1183.6,915.62,97
1184.7,917.22,97
1185.9,919.1,97
1187.1,921.24,97
1188.3,923.04,96.65
1189.4,924.64,96.12
1190.6,926.25,96
1191.8,927.85,96
1192.9,929.45,96
1194.1,931.08,96
1195.3,933.22,96
1196.5,935.27,96
1197.6,936.87,96
1198.8,938.64,95.84
1200,940.78,95.31
1201.1,942.69,95
1202.3,944.29,95
1203.5,945.9,95
1204.6,947.5,95
1205.8,949.1,95
1207,950.71,95
1208.2,952.31,94.56
1209.3,953.92,94.03
1210.5,956.03,94
1211.7,958.17,94
1212.8,960.31,94
1214,962.34,94
1215.2,963.94,94
1216.3,965.55,93.82
1217.5,967.15,93.28
1218.7,969.01,93
1219.8,971.15,93
1221,972.96,93
1222.2,974.57,93
1223.4,976.17,92.61
1224.5,977.78,92.07
1225.7,979.84,92
1226.9,981.98,92
1228,983.59,92
1229.2,985.2,91.93
1230.4,986.8,91.4
1231.6,988.4,91
1232.7,990.01,91
1233.9,991.82,91
1235.1,993.96,91
1236.2,995.82,90.73
1237.4,997.43,90.19
1238.6,999.03,90
1239.7,1000.64,90
1240.9,1002.24,90
1242.1,1003.84,90
1243.3,1005.93,89.52
1244.4,1008.05,89
1245.6,1009.66,89
